history_id,create_time,tool_id,job_memory_gb,cpu_count,system_runtime_sec,real_runtime_sec
64,2021-08-13 17:45:50.671344,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,50.0,16,2928,183
64,2021-08-13 17:45:50.567355,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,2.0,1,632,632
63,2021-08-13 17:45:49.416406,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,16,96,6
63,2021-08-13 17:45:49.326971,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.5.1+galaxy0,50.0,16,4384,274
63,2021-08-13 17:45:49.208587,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.2+galaxy0,50.0,16,7840,490
63,2021-08-13 17:45:49.100736,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,16,1424,89
63,2021-08-13 17:45:49.009191,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,50.0,16,2720,170
63,2021-08-13 17:45:48.9085,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,2.0,1,647,647
62,2021-08-13 17:45:48.758081,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,16,160,10
62,2021-08-13 17:45:48.666492,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.5.1+galaxy0,50.0,16,4576,286
62,2021-08-13 17:45:48.543904,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.2+galaxy0,50.0,16,8064,504
62,2021-08-13 17:45:48.425666,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,16,1744,109
62,2021-08-13 17:45:48.329996,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,50.0,16,5072,317
62,2021-08-13 17:45:48.219684,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,2.0,1,1188,1188
61,2021-08-13 17:32:24.658159,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,16,4624,289
61,2021-08-13 17:32:24.604697,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,50.0,16,16688,1043
61,2021-08-13 17:32:24.480224,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,50.0,16,40080,2505
61,2021-08-13 17:32:24.424244,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,16,32304,2019
60,2021-08-13 17:32:23.339205,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,16,496,31
60,2021-08-13 17:32:23.285754,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,50.0,16,1136,71
60,2021-08-13 17:32:23.233495,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.17.4,50.0,16,14896,931
60,2021-08-13 17:32:23.183426,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,50.0,16,4032,252
60,2021-08-13 17:32:23.130273,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,16,3408,213
59,2021-08-13 17:32:23.050204,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,16,272,17
59,2021-08-13 17:32:22.997658,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,50.0,16,624,39
59,2021-08-13 17:32:22.94359,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.17.4,50.0,16,3680,230
59,2021-08-13 17:32:22.888359,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,50.0,16,784,49
59,2021-08-13 17:32:22.835647,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,16,624,39
58,2021-08-13 17:32:22.132928,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,16,288,18
58,2021-08-13 17:32:22.083773,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,50.0,16,240,15
58,2021-08-13 17:32:22.031686,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.17.4,50.0,16,3008,188
58,2021-08-13 17:32:21.979521,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,50.0,16,1024,64
58,2021-08-13 17:32:21.929571,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,16,736,46
57,2021-08-13 17:32:21.74252,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,16,912,57
57,2021-08-13 17:32:21.689703,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,50.0,16,2800,175
57,2021-08-13 17:32:21.635869,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.17.4,50.0,16,26080,1630
57,2021-08-13 17:32:21.583668,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,50.0,16,8656,541
57,2021-08-13 17:32:21.52623,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,16,5712,357
56,2021-08-13 17:32:20.839462,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,16,848,53
56,2021-08-13 17:32:20.784839,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,50.0,16,1792,112
56,2021-08-13 17:32:20.716933,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.17.4,50.0,16,14464,904
56,2021-08-13 17:32:20.660232,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,50.0,16,4336,271
