Run,Cloud,Job Conf,Workflow,History,Server,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes),Memory Soft Limit
1,e2,16x32,2138d9e23370493f,2eca279e52bdb3d0,http://34.138.22.88:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,416.0000000,809490290879.0000000,9999998976.0000000,7521275904.0000000,9223372036854771712.0000000
0,c2,16x32,4563a60c7ce8a92f,62eef8c4fba7155d,http://34.73.40.159:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,66.0000000,130662671737.0000000,9999998976.0000000,8734031872.0000000,9223372036854771712.0000000
0,n1,4x8,91d4a3e115d9cda2,7da77d15fc0191ed,http://35.231.186.105:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,87.0000000,174854023624.0000000,9999998976.0000000,9313976320.0000000,9223372036854771712.0000000
1,n2,16x32,00cc7bba7f14f031,67a214296e5e36b3,http://34.75.249.162:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,346.0000000,692433263543.0000000,9999998976.0000000,7489150976.0000000,9223372036854771712.0000000
0,n1,4x8,91d4a3e115d9cda2,7da77d15fc0191ed,http://35.231.186.105:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,249.0000000,983408109618.0000000,16000000000.0000000,11735281664.0000000,9223372036854771712.0000000
0,e2,16x32,2138d9e23370493f,9426eadb72701541,http://34.138.22.88:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,678.0000000,2163962779896.0000000,16000000000.0000000,11211231232.0000000,9223372036854771712.0000000
1,n2,16x32,00cc7bba7f14f031,67a214296e5e36b3,http://34.75.249.162:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,198.0000000,778941967258.0000000,16000000000.0000000,12615184384.0000000,9223372036854771712.0000000
1,n2,8x16,5e16d22a8a32baa9,6282b6c085419a78,http://34.75.249.162:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,346.0000000,692408846156.0000000,9999998976.0000000,7203491840.0000000,9223372036854771712.0000000
1,n1,16x32,9a97e21eece60c70,af8549dd761318d1,http://35.231.186.105:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,439.0000000,879326512725.0000000,9999998976.0000000,7352397824.0000000,9223372036854771712.0000000
1,c2,4x8,2b1f44c39c87bcca,e31277ecf4199b58,http://34.73.40.159:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,188.0000000,738816418751.0000000,16000000000.0000000,12697653248.0000000,9223372036854771712.0000000
1,c2,8x16,a53cc1dd7d2490b0,7eaff4edbfdd89ac,http://34.73.40.159:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,381.0000000,1304668118839.0000000,16000000000.0000000,11303206912.0000000,9223372036854771712.0000000
1,e2,default,f3571de78c266585,16298b6a83391817,http://34.138.22.88:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,300.0000000,1177221629599.0000000,16000000000.0000000,9539383296.0000000,9223372036854771712.0000000
1,n2,default,79e052a475e6668b,79e2b3bcad4c7e04,http://34.75.249.162:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,352.0000000,698708131279.0000000,9999998976.0000000,7690661888.0000000,9223372036854771712.0000000
0,n2,4x8,8cd9256b535acf7f,0f352045104c4f15,http://34.75.249.162:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,346.0000000,692429770749.0000000,9999998976.0000000,7311724544.0000000,9223372036854771712.0000000
1,n1,default,95a587c8ab73103e,e8924317936df9d4,http://35.231.186.105:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,45.0000000,69280501037.0000000,4999999488.0000000,16822272.0000000,9223372036854771712.0000000
0,c2,8x16,a53cc1dd7d2490b0,2dbff808d1d76c54,http://34.73.40.159:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,318.0000000,636126977318.0000000,9999998976.0000000,7573139456.0000000,9223372036854771712.0000000
0,n1,16x32,9a97e21eece60c70,1ddf2c69353cf6a4,http://35.231.186.105:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,96.0000000,192423873203.0000000,9999998976.0000000,9339736064.0000000,9223372036854771712.0000000
0,e2,4x8,06ce99249061d778,53721d68a5ff923d,http://34.138.22.88:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,33.0000000,46845905997.0000000,4999999488.0000000,16670720.0000000,9223372036854771712.0000000
1,n2,8x16,5e16d22a8a32baa9,6282b6c085419a78,http://34.75.249.162:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,31.0000000,40149038279.0000000,4999999488.0000000,16060416.0000000,9223372036854771712.0000000
0,n1,8x16,68b77645c1492f6d,89152235b2dab7ba,http://35.231.186.105:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,529.0000000,1777312577801.0000000,16000000000.0000000,11285700608.0000000,9223372036854771712.0000000
1,c2,8x16,a53cc1dd7d2490b0,7eaff4edbfdd89ac,http://34.73.40.159:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,28.0000000,42741652484.0000000,4999999488.0000000,16814080.0000000,9223372036854771712.0000000
1,n1,4x8,91d4a3e115d9cda2,672690a385b83e39,http://35.231.186.105:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,86.0000000,172959035686.0000000,9999998976.0000000,8993193984.0000000,9223372036854771712.0000000
0,n1,8x16,68b77645c1492f6d,89152235b2dab7ba,http://35.231.186.105:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,442.0000000,887269991623.0000000,9999998976.0000000,7466274816.0000000,9223372036854771712.0000000
0,n1,4x8,91d4a3e115d9cda2,7da77d15fc0191ed,http://35.231.186.105:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,493.0000000,1656112176414.0000000,16000000000.0000000,11303022592.0000000,9223372036854771712.0000000
0,n2,8x16,5e16d22a8a32baa9,12c3019192244338,http://34.75.249.162:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,71.0000000,142466084271.0000000,9999998976.0000000,9320853504.0000000,9223372036854771712.0000000
1,e2,16x32,2138d9e23370493f,2eca279e52bdb3d0,http://34.138.22.88:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,306.0000000,1129819026042.0000000,16000000000.0000000,11760562176.0000000,9223372036854771712.0000000
