,month_year,numusers,tool_name_version
161, 2021-05 ,       66,gd_filter_gd_snp/1.2.0                                                        
162, 2021-05 ,       66,gd_filter_gd_snp/1.2.0                                                        
163, 2021-05 ,       65,gd_filter_gd_snp/1.2.0                                                        
164, 2021-05 ,       65,gd_filter_gd_snp/1.2.0                                                        
165, 2021-05 ,       65,gd_filter_gd_snp/1.2.0                                                        
166, 2021-05 ,       64,gd_filter_gd_snp/1.2.0                                                        
167, 2021-05 ,       64,gd_filter_gd_snp/1.2.0                                                        
168, 2021-05 ,       64,gd_filter_gd_snp/1.2.0                                                        
169, 2021-05 ,       63,gd_filter_gd_snp/1.2.0                                                        
170, 2021-05 ,       62,gd_filter_gd_snp/1.2.0                                                        
171, 2021-05 ,       62,gd_filter_gd_snp/1.2.0                                                        
172, 2021-05 ,       61,gd_filter_gd_snp/1.2.0                                                        
173, 2021-05 ,       61,gd_filter_gd_snp/1.2.0                                                        
174, 2021-05 ,       60,gd_filter_gd_snp/1.2.0                                                        
175, 2021-05 ,       60,gd_filter_gd_snp/1.2.0                                                        
176, 2021-05 ,       58,gd_filter_gd_snp/1.2.0                                                        
177, 2021-05 ,       58,gd_filter_gd_snp/1.2.0                                                        
178, 2021-05 ,       57,gd_filter_gd_snp/1.2.0                                                        
179, 2021-05 ,       56,gd_filter_gd_snp/1.2.0                                                        
180, 2021-05 ,       56,gd_filter_gd_snp/1.2.0                                                        
181, 2021-05 ,       56,gd_filter_gd_snp/1.2.0                                                        
182, 2021-05 ,       56,gd_filter_gd_snp/1.2.0                                                        
183, 2021-05 ,       55,gd_filter_gd_snp/1.2.0                                                        
184, 2021-05 ,       55,gd_filter_gd_snp/1.2.0                                                        
185, 2021-05 ,       54,gd_filter_gd_snp/1.2.0                                                        
186, 2021-05 ,       54,gd_filter_gd_snp/1.2.0                                                        
187, 2021-05 ,       53,gd_filter_gd_snp/1.2.0                                                        
188, 2021-05 ,       53,gd_filter_gd_snp/1.2.0                                                        
189, 2021-05 ,       52,gd_filter_gd_snp/1.2.0                                                        
190, 2021-05 ,       52,gd_filter_gd_snp/1.2.0                                                        
191, 2021-05 ,       52,gd_filter_gd_snp/1.2.0                                                        
192, 2021-05 ,       52,gd_filter_gd_snp/1.2.0                                                        
193, 2021-05 ,       52,gd_filter_gd_snp/1.2.0                                                        
194, 2021-05 ,       51,gd_filter_gd_snp/1.2.0                                                        
195, 2021-05 ,       51,gd_filter_gd_snp/1.2.0                                                        
196, 2021-05 ,       51,gd_filter_gd_snp/1.2.0                                                        
197, 2021-05 ,       50,gd_filter_gd_snp/1.2.0                                                        
198, 2021-05 ,       50,gd_filter_gd_snp/1.2.0                                                        
199, 2021-05 ,       50,gd_filter_gd_snp/1.2.0                                                        
200, 2021-05 ,       49,gd_filter_gd_snp/1.2.0                                                        
201, 2021-05 ,       49,gd_filter_gd_snp/1.2.0                                                        
202, 2021-05 ,       49,gd_filter_gd_snp/1.2.0                                                        
203, 2021-05 ,       48,gd_filter_gd_snp/1.2.0                                                        
204, 2021-05 ,       47,gd_filter_gd_snp/1.2.0                                                        
205, 2021-05 ,       47,gd_filter_gd_snp/1.2.0                                                        
206, 2021-05 ,       47,gd_filter_gd_snp/1.2.0                                                        
207, 2021-05 ,       47,gd_filter_gd_snp/1.2.0                                                        
208, 2021-05 ,       46,gd_filter_gd_snp/1.2.0                                                        
209, 2021-05 ,       46,gd_filter_gd_snp/1.2.0                                                        
210, 2021-05 ,       46,gd_filter_gd_snp/1.2.0                                                        
211, 2021-05 ,       46,gd_filter_gd_snp/1.2.0                                                        
212, 2021-05 ,       45,gd_filter_gd_snp/1.2.0                                                        
213, 2021-05 ,       45,gd_filter_gd_snp/1.2.0                                                        
214, 2021-05 ,       44,gd_filter_gd_snp/1.2.0                                                        
215, 2021-05 ,       44,gd_filter_gd_snp/1.2.0                                                        
216, 2021-05 ,       44,gd_filter_gd_snp/1.2.0                                                        
217, 2021-05 ,       44,gd_filter_gd_snp/1.2.0                                                        
218, 2021-05 ,       44,gd_filter_gd_snp/1.2.0                                                        
219, 2021-05 ,       44,gd_filter_gd_snp/1.2.0                                                        
220, 2021-05 ,       43,gd_filter_gd_snp/1.2.0                                                        
221, 2021-05 ,       43,gd_filter_gd_snp/1.2.0                                                        
222, 2021-05 ,       43,gd_filter_gd_snp/1.2.0                                                        
223, 2021-05 ,       43,gd_filter_gd_snp/1.2.0                                                        
224, 2021-05 ,       43,gd_filter_gd_snp/1.2.0                                                        
225, 2021-05 ,       43,gd_filter_gd_snp/1.2.0                                                        
226, 2021-05 ,       43,gd_filter_gd_snp/1.2.0                                                        
227, 2021-05 ,       42,gd_filter_gd_snp/1.2.0                                                        
228, 2021-05 ,       42,gd_filter_gd_snp/1.2.0                                                        
229, 2021-05 ,       42,gd_filter_gd_snp/1.2.0                                                        
230, 2021-05 ,       42,gd_filter_gd_snp/1.2.0                                                        
231, 2021-05 ,       42,gd_filter_gd_snp/1.2.0                                                        
232, 2021-05 ,       41,gd_filter_gd_snp/1.2.0                                                        
233, 2021-05 ,       41,gd_filter_gd_snp/1.2.0                                                        
234, 2021-05 ,       41,gd_filter_gd_snp/1.2.0                                                        
235, 2021-05 ,       40,gd_filter_gd_snp/1.2.0                                                        
236, 2021-05 ,       40,gd_filter_gd_snp/1.2.0                                                        
237, 2021-05 ,       40,gd_filter_gd_snp/1.2.0                                                        
238, 2021-05 ,       40,gd_filter_gd_snp/1.2.0                                                        
239, 2021-05 ,       40,gd_filter_gd_snp/1.2.0                                                        
240, 2021-05 ,       40,gd_filter_gd_snp/1.2.0                                                        
241, 2021-05 ,       39,gd_filter_gd_snp/1.2.0                                                        
